,nodeId,Id,ASIN,group,salesrank,totalSimilar,s1,s2,s3,s4,s5,totalReview,avgRate,totalVote,visited,v1,v2,v3,v4,v5
5038,5038,140514,B000050NS1,DVD,30070,5,164963,547996,547940,547941,545190,18,4.5,122,7,88.0,21.0,27.0,33.0,35.0
5039,5039,140532,B00000AEW0,DVD,30793,3,226745,165114,,226743,,11,4.0,59,4,86.0,184.0,,143.0,
5040,5040,140555,6305417504,DVD,55022,1,,,88227,,,15,1.5,229,1,,,383.0,,
5041,5041,140570,6305770360,DVD,34598,2,,,135716,,544290,3,4.0,2,2,,,412.0,,91.0
5043,5043,140702,6304698623,DVD,2466,4,545602,276142,,83632,157088,150,4.5,435,8,628.0,410.0,,69.0,218.0
5045,5045,141040,6306010513,DVD,13923,3,544609,142860,143260,,,37,3.0,112,5,190.0,121.0,111.0,,
5046,5046,141124,B00008MZ0N,DVD,4968,3,,546990,51923,,113241,675,4.0,1982,14,,1986.0,1087.0,,161.0
5049,5049,141148,B00005V1WQ,DVD,9201,5,546221,185268,184382,270909,545265,7,5.0,69,5,6178.0,5666.0,3429.0,1958.0,7827.0
5051,5051,141150,B00005V1WV,DVD,13734,2,543759,,,,542229,39,4.5,379,3,161.0,,,,270.0
5053,5053,141152,B00005V1WY,DVD,7503,5,250587,43273,166009,545303,250588,16,4.5,121,9,362.0,191.0,408.0,1609.0,245.0
5054,5054,141155,B00005V1WP,DVD,12576,5,542517,257377,545213,544466,543822,20,4.0,155,17,565.0,533.0,255.0,59.0,436.0
5056,5056,141178,B00005BJWQ,DVD,39045,4,544718,213893,,484100,453361,7,4.0,71,4,92.0,645.0,,974.0,768.0
5057,5057,141182,B00005BJWI,DVD,43908,1,,,88227,,,0,0.0,0,1,,,383.0,,
5058,5058,141183,B00005BJWH,DVD,37999,1,,545844,,,,25,3.5,145,1,,461.0,,,
5060,5060,141187,B00005BJWM,DVD,43669,1,158215,,,,,4,4.5,17,1,277.0,,,,
5061,5061,141188,B00005BJWJ,DVD,56114,2,,,,545844,546469,5,2.5,44,2,,,,461.0,71.0
5063,5063,141191,B00005BJWC,DVD,24483,4,239437,285805,465109,109987,,41,4.5,187,4,472.0,81.0,144.0,530.0,
5066,5066,141207,B00005QZ7L,DVD,37888,2,544585,,,,544135,0,0.0,0,3,17.0,,,,12.0
5068,5068,141287,B00005MAM2,DVD,3111,4,437561,235244,426677,117334,,595,4.5,1872,12,1952.0,1318.0,4578.0,943.0,
5069,5069,141289,B00005MAM3,DVD,41312,3,176298,,256658,,486100,13,4.0,58,10,5.0,,9.0,,0.0
5070,5070,141326,6304843267,DVD,33784,4,545980,115283,,199944,545574,40,3.5,109,7,92.0,149.0,,163.0,352.0
5071,5071,141366,6305389519,DVD,22575,2,528200,,100732,,,54,4.0,357,5,358.0,,277.0,,
5072,5072,141422,1572526564,DVD,24402,3,545420,,60740,,268135,19,4.5,74,6,73.0,,82.0,,38.0
5073,5073,141504,0780622243,DVD,14342,5,9587,508045,546721,134633,188981,82,4.0,265,12,197.0,105.0,285.0,189.0,267.0
5074,5074,141540,6305428352,DVD,801,5,544508,545671,547977,548138,545414,101,4.0,563,17,964.0,176.0,282.0,204.0,707.0
5075,5075,141598,B00004YNWU,DVD,38267,4,,548254,39549,543205,188756,26,3.0,113,7,,30.0,53.0,113.0,236.0
5077,5077,141673,6305081026,DVD,37157,4,547198,56598,128341,543231,,9,4.5,70,4,90.0,79.0,114.0,82.0,
5079,5079,141869,630530887X,DVD,22997,4,,276670,191066,71442,38128,12,3.0,21,7,,10.0,58.0,82.0,14.0
5081,5081,141926,0792846893,DVD,15042,3,210924,210930,250898,,,17,4.0,107,10,123.0,210.0,133.0,,
5082,5082,141951,630528069X,DVD,36298,5,218399,218397,547956,547040,127524,205,4.5,435,5,111.0,157.0,177.0,355.0,1204.0
5083,5083,142029,B0000635YC,DVD,17834,4,143162,7705,,187040,88577,12,4.0,250,11,1250.0,550.0,,380.0,328.0
5084,5084,142089,6305882592,DVD,466,4,281143,44238,548412,,235687,208,4.5,1415,7,164.0,914.0,68.0,,2084.0
5085,5085,142233,0792833287,DVD,898,5,546754,59459,544390,546681,255984,94,4.5,773,24,913.0,764.0,1152.0,742.0,936.0
5087,5087,142301,B00005Q2YY,DVD,27843,5,500863,446950,85385,95753,370079,23,4.5,89,10,60.0,91.0,108.0,56.0,450.0
5089,5089,142358,B00000IBY4,DVD,47557,3,,,181291,24441,6292,21,4.0,25,3,,,172.0,172.0,27.0
5090,5090,142413,B00007FGE5,DVD,35438,2,,191141,,546926,,2,3.0,8,2,,970.0,,1015.0,
5091,5091,142462,6304713045,DVD,33913,2,,290191,,290190,,3,2.5,24,2,,21.0,,21.0,
5093,5093,142468,B000034DDO,DVD,27139,3,,17827,530476,,15564,4,4.5,6,8,,10.0,23.0,,7.0
5094,5094,142469,B000034DDN,DVD,22605,4,,546955,283428,31159,57865,53,4.0,178,5,,60.0,277.0,402.0,30.0
5095,5095,142471,B000034DDM,DVD,25794,2,,,261582,,261590,7,4.0,94,4,,,15.0,,24.0
5096,5096,142473,B00003CXAR,DVD,18777,4,546706,284892,,545167,166709,50,4.0,458,4,282.0,243.0,,945.0,956.0
5097,5097,142479,B000034DDV,DVD,49910,2,548002,547134,,,,1,2.0,7,2,278.0,697.0,,,
5098,5098,142480,B000034DDR,DVD,1380,4,117295,167606,,548408,109845,37,5.0,101,5,409.0,134.0,,140.0,938.0
5099,5099,142481,B000034DDU,DVD,22098,2,,,547784,,104200,7,5.0,36,3,,,348.0,,98.0
5100,5100,142485,B000034DDT,DVD,20963,1,,547546,,,,12,4.0,26,1,,21.0,,,
5101,5101,142701,0790731509,DVD,180,4,545834,547129,,533237,59459,83,4.5,495,13,611.0,305.0,,1585.0,764.0
5102,5102,142736,B00006AG8D,DVD,7649,1,,,,548018,,29,4.5,309,1,,,,379.0,
5104,5104,142755,B00003CXA4,DVD,1139,4,42899,548215,,544823,35180,125,4.5,1072,13,1717.0,762.0,,522.0,656.0
5105,5105,142764,B00003CXA6,DVD,199,2,,497095,547116,,,375,4.5,2141,8,,1043.0,413.0,,
5106,5106,142770,B00007L4MZ,DVD,38296,5,231526,231531,545509,543645,543221,0,0.0,0,10,0.0,0.0,0.0,10.0,45.0
5107,5107,142798,6305020094,DVD,15244,2,509249,,262787,,,53,4.5,301,4,954.0,,356.0,,
5108,5108,142820,B00004Z4WJ,DVD,34128,4,,229515,548255,270541,51926,33,4.5,350,6,,83.0,63.0,52.0,56.0
5111,5111,142841,B00004Z1G3,DVD,41548,4,,8201,369616,544179,56468,8,1.5,102,4,,162.0,363.0,95.0,265.0
5112,5112,142842,B00004Z1G1,DVD,6922,4,202059,543587,547557,546225,,17,4.5,72,22,260.0,177.0,128.0,224.0,
5114,5114,142854,B000059TFR,DVD,11844,5,72265,547239,546363,186890,548401,23,4.5,51,5,141.0,172.0,594.0,68.0,105.0
5115,5115,142856,B00004Z1GH,DVD,37374,2,445053,,545483,,,9,4.0,167,2,232.0,,368.0,,
5116,5116,142858,B000059TFS,DVD,12606,5,546540,121140,121139,121138,284463,7,3.0,41,9,96.0,96.0,93.0,48.0,23.0
5117,5117,142859,B00004Z1GV,DVD,30539,1,,,546869,,,1,3.0,30,2,,,301.0,,
5118,5118,142860,B00004Z1GR,DVD,12096,3,,,131095,94590,544609,26,3.5,121,7,,,85.0,136.0,190.0
5119,5119,142861,B00004Z1GU,DVD,4277,1,,546592,,,,26,4.5,155,5,,85.0,,,
5120,5120,142863,B00004Z1GT,DVD,4297,1,215884,,,,,18,4.5,178,2,171.0,,,,
5121,5121,142883,B000059TFY,DVD,29084,1,,,548091,,,14,4.5,67,1,,,693.0,,
5122,5122,142905,B00005AR3G,DVD,981,3,6754,,,6760,538006,248,4.5,719,6,507.0,,,797.0,1823.0
5123,5123,142991,B00008NFR5,DVD,15241,5,544508,141540,276168,28790,547977,79,4.0,454,5,964.0,563.0,787.0,964.0,282.0
5124,5124,142993,B0000633QS,DVD,25069,5,404025,428578,189197,428558,135093,8,4.0,16,11,149.0,17.0,32.0,13.0,142.0
5126,5126,143049,B00005OSKQ,DVD,33216,2,114899,251579,,,,15,3.5,58,3,42.0,1.0,,,
5127,5127,143135,B0000633QY,DVD,24660,5,205699,11147,428560,366215,173697,19,5.0,45,11,3.0,3.0,0.0,2.0,2.0
5128,5128,143155,B0000633QG,DVD,36800,2,41507,41521,,,,2,3.0,36,2,127.0,2.0,,,
5129,5129,143162,B00006B1HI,DVD,1296,4,7705,142029,,187040,543591,144,5.0,1250,14,550.0,250.0,,380.0,112.0
5130,5130,143164,B00006B1HH,DVD,2782,2,245395,,546361,,,232,4.5,830,2,609.0,,425.0,,
5131,5131,143208,B00003CXV4,DVD,10719,4,205896,542194,,61381,283659,101,3.5,381,10,701.0,525.0,,131.0,375.0
5132,5132,143244,6305899398,DVD,7236,5,545614,269352,46626,59477,547127,99,3.5,427,10,1035.0,464.0,8.0,587.0,560.0
5133,5133,143255,B0000633QA,DVD,17649,3,404182,,543066,,41507,3,3.5,48,7,1590.0,,45.0,,127.0
5134,5134,143260,B00003CXVP,DVD,6065,3,141040,,166613,,163596,36,3.5,111,4,112.0,,249.0,,59.0
5135,5135,143296,B00007GZR9,DVD,25222,4,521911,,546290,200650,226738,30,4.5,83,5,83.0,,924.0,369.0,652.0
5136,5136,143300,B00007GZR3,DVD,17174,2,,,121126,,544903,10,3.0,124,3,,,206.0,,168.0
5137,5137,143302,B00007GZR0,DVD,4156,2,,143304,,547429,,33,4.5,128,4,,256.0,,216.0,
5138,5138,143304,B00007GZR1,DVD,806,2,,547429,,143302,,36,4.5,256,9,,216.0,,128.0,
5139,5139,143305,B00007GZRK,DVD,24644,4,201186,,248263,14384,545404,10,3.5,39,9,232.0,,60.0,132.0,23.0
5140,5140,143307,B00007GZR5,DVD,492,4,546874,545418,545679,,263682,365,4.0,1660,21,460.0,603.0,540.0,,1421.0
5141,5141,143308,B00007GZRI,DVD,12111,4,14384,13255,201186,,548070,17,4.0,43,8,132.0,111.0,232.0,,19.0
5142,5142,143311,B00007GZR4,DVD,8716,1,,,,546231,,1,3.0,16,2,,,,36.0,
5143,5143,143313,B00007GZRL,DVD,38060,2,121182,,,548091,,2,2.5,3,3,31.0,,,693.0,
5144,5144,143316,B00007GZRF,DVD,27005,3,248263,,,201186,14384,8,2.0,19,3,60.0,,,232.0,132.0
5145,5145,143319,B00007GZRE,DVD,37141,2,544221,,545695,,,1,3.0,3,4,0.0,,4.0,,
5146,5146,143324,B00007GZRR,DVD,12824,1,,,,,223531,3,4.5,11,1,,,,,43.0
5147,5147,143325,B00007GZRV,DVD,22086,3,143330,143333,,,545365,2,4.5,3,6,24.0,23.0,,,4.0
5148,5148,143327,B00007GZRQ,DVD,23301,3,,,537110,548433,547320,4,4.5,9,4,,,288.0,25.0,448.0
5149,5149,143329,B00007GZRW,DVD,10714,4,242033,544637,545824,260654,,14,4.0,28,5,272.0,426.0,296.0,1569.0,
5150,5150,143330,B00007GZRT,DVD,26246,3,143333,143325,,,545365,5,5.0,24,5,23.0,3.0,,,4.0
5151,5151,143333,B00007GZRU,DVD,24779,3,143330,,545365,143325,,5,4.0,23,7,24.0,,4.0,3.0,
5152,5152,143468,6305099014,DVD,24546,1,172421,,,,,553,4.0,1925,1,339.0,,,,
5153,5153,143564,6304696531,DVD,1589,5,64736,261598,548266,545834,546844,82,4.5,583,19,206.0,1187.0,295.0,611.0,349.0
5154,5154,143728,6305837481,DVD,48799,3,,528575,,6853,546647,7,1.0,27,3,,257.0,,87.0,67.0
5155,5155,143730,630513734X,DVD,38226,3,547405,546018,,,548207,42,3.5,57,4,108.0,52.0,,,1255.0
5156,5156,143794,B0000669XE,DVD,37739,3,542979,537977,543729,,,10,4.5,45,3,362.0,25.0,160.0,,
5157,5157,143813,6305835225,DVD,27687,2,,8338,58676,,,6,2.5,32,2,,513.0,95.0,,
5158,5158,143916,630503723X,DVD,20812,5,120091,545752,272542,545301,545335,20,3.5,217,6,1216.0,273.0,152.0,90.0,374.0
5159,5159,143947,B00005UM44,DVD,38376,3,381268,42360,,,208830,3,3.5,22,3,165.0,62.0,,,99.0
5162,5162,144186,B00004W5UN,DVD,23205,2,,,544126,,181363,13,2.5,43,2,,,176.0,,1584.0
5163,5163,144187,B00004W5UL,DVD,7656,4,144190,144189,264527,,280176,5,4.5,14,6,166.0,505.0,131.0,,50.0
5164,5164,144189,B00004W5UM,DVD,8174,3,46228,,,144190,144187,92,5.0,505,15,743.0,,,166.0,14.0
5165,5165,144190,B00004W5UK,DVD,6649,5,144187,144189,264527,280176,46228,51,5.0,166,7,14.0,505.0,131.0,50.0,743.0
5166,5166,144191,B00004W5UH,DVD,26981,5,144193,9650,157624,543105,534623,5,3.5,18,13,54.0,210.0,70.0,72.0,72.0
5167,5167,144193,B00004W5UI,DVD,20162,5,543105,144191,543161,270306,157624,9,4.0,54,11,72.0,18.0,63.0,145.0,70.0
5168,5168,144196,B00004W5UC,DVD,24975,5,33352,546642,179923,32393,277315,0,0.0,0,5,154.0,443.0,53.0,48.0,420.0
5169,5169,144201,B00004W5UF,DVD,11340,5,547757,59460,59477,545522,1504,5,4.0,9,27,118.0,129.0,587.0,471.0,123.0
5170,5170,144205,B00004W5UV,DVD,41968,2,,,,323530,165114,3,3.0,15,2,,,,85.0,184.0
5171,5171,144206,B00004W5UT,DVD,52622,4,175918,,13944,238222,114854,5,3.5,55,4,54.0,,16.0,19.0,15.0
5172,5172,144232,6305281017,DVD,41109,2,12865,,,,533015,4,5.0,31,2,21.0,,,,0.0
5173,5173,144249,B00007ELEO,DVD,14184,4,32468,16168,,201184,546260,6,3.0,49,6,165.0,31.0,,244.0,127.0
5174,5174,144250,B00004W5U7,DVD,10277,5,144253,43169,543228,543372,233643,23,3.5,121,15,146.0,290.0,179.0,87.0,247.0
5175,5175,144253,B00004W5U6,DVD,12433,4,144250,543228,43169,545874,,21,3.5,146,8,121.0,179.0,290.0,158.0,
5176,5176,144366,B00007ELE1,DVD,10241,4,545550,542293,,147374,270892,19,4.5,116,7,390.0,26.0,,581.0,59.0
5177,5177,144474,B00005B7BT,DVD,33457,2,544703,,,,546542,3,3.5,10,2,2.0,,,,49.0
5178,5178,144484,B00005B7BE,DVD,28965,1,,271519,,,,8,4.5,51,4,,134.0,,,
5179,5179,144495,B00006G8JY,DVD,15781,4,144498,545940,,178298,548392,10,3.5,46,8,52.0,92.0,,76.0,33.0
5180,5180,144498,B00006G8JX,DVD,15751,4,144495,545940,,178298,166871,12,4.0,52,9,46.0,92.0,,76.0,50.0
5181,5181,144506,B00006G8JZ,DVD,9214,3,543912,542736,542143,,,31,4.0,122,6,299.0,80.0,107.0,,
5183,5183,144577,B00000JRUQ,DVD,1256,3,241833,542592,,,240124,234,4.5,1169,10,1784.0,679.0,,,1328.0
5185,5185,144654,6305645507,DVD,27168,3,265712,546923,,,545087,6,4.0,16,3,651.0,63.0,,,19.0
5186,5186,144704,B00006G8J2,DVD,7262,5,174769,53582,547341,544678,547173,2,5.0,7,5,273.0,256.0,125.0,180.0,171.0
5187,5187,144749,0783226993,DVD,6695,3,542294,545645,,,60884,25,3.0,88,10,191.0,16.0,,,19.0
5188,5188,144871,6305805873,DVD,18931,1,,,,271510,,6,3.5,3,1,,,,374.0,
5189,5189,144894,B00005RIXJ,DVD,33100,2,,425723,,,499233,10,3.5,129,2,,117.0,,,129.0
5190,5190,144895,B00005RIXH,DVD,21270,5,548100,546288,144905,144897,136674,15,4.0,132,17,524.0,269.0,47.0,126.0,124.0
5191,5191,144897,B00005RIXI,DVD,2700,5,227716,548099,144905,144895,6362,7,4.5,126,13,316.0,288.0,47.0,132.0,387.0
5192,5192,144898,B00005RIXN,DVD,26485,3,472048,,246007,,8340,6,3.0,15,3,58.0,,75.0,,9.0
5193,5193,144899,B00005RIXL,DVD,37925,2,,,,144920,297679,3,3.0,26,4,,,,17.0,52.0
5194,5194,144900,B00005RIXM,DVD,37585,2,535241,,,,151010,2,3.5,12,5,41.0,,,,7.0
5195,5195,144901,B00005RIXC,DVD,9723,5,185250,64721,64722,64723,214368,5,4.0,12,10,4.0,1.0,12.0,6.0,101.0
5196,5196,144902,B00005RIXB,DVD,9620,5,34917,91044,185250,64721,64722,10,4.0,46,13,38.0,16.0,4.0,1.0,12.0
5197,5197,144903,B00005RIXA,DVD,41585,3,545334,545048,,545350,,5,3.0,32,3,354.0,25.0,,165.0,
5198,5198,144904,B00005RIXE,DVD,41819,5,91035,500599,295439,427469,350906,2,4.5,3,10,8.0,0.0,0.0,3.0,0.0
5199,5199,144905,B00005RIXG,DVD,24192,4,144895,227716,144897,546288,,5,4.0,47,13,132.0,316.0,126.0,269.0,
5200,5200,144906,B00005RIXD,DVD,14662,4,514383,171825,,476933,422879,47,4.0,173,8,79.0,171.0,,80.0,67.0
5201,5201,144907,B00005RIXY,DVD,12312,1,,538484,,,,0,0.0,0,1,,45.0,,,
5202,5202,144910,B00005RIXX,DVD,37656,2,,,499233,477753,,6,3.0,53,2,,,129.0,360.0,
5203,5203,144915,B00005RIXQ,DVD,52576,3,534479,113447,,,102651,2,1.5,1,3,41.0,45.0,,,135.0
5204,5204,144917,B00005RIXW,DVD,30052,1,,,,,153365,6,3.5,33,1,,,,,24.0
5205,5205,144918,B00005RIXV,DVD,31612,2,505686,,,79392,,6,4.0,63,7,40.0,,,19.0,
5206,5206,144920,B00005RIXU,DVD,43818,1,,,144899,,,3,4.5,17,2,,,26.0,,
5207,5207,144934,6305943052,DVD,33447,4,71335,,244492,177494,260018,17,3.5,185,6,204.0,,65.0,47.0,64.0
5208,5208,144959,B00005RIX9,DVD,21757,2,,,,544068,231508,6,2.5,37,2,,,,23.0,129.0
5210,5210,144965,B00005RIX0,DVD,13661,2,72373,413960,,,,6,5.0,99,3,47.0,52.0,,,
5211,5211,144968,B00005RIX4,DVD,43110,4,85532,,544138,345955,843,0,0.0,0,4,67.0,,142.0,54.0,13.0
5212,5212,145072,630472313X,DVD,18819,4,235548,95965,544126,,542315,26,4.0,54,10,186.0,98.0,176.0,,115.0
5214,5214,145151,B00005NKSF,DVD,47252,3,293909,407345,264681,,,0,0.0,0,3,273.0,1440.0,513.0,,
5215,5215,145152,B00005NKSG,DVD,22395,3,,108171,198232,,171660,3,4.5,29,5,,35.0,257.0,,27.0
5217,5217,145232,6305912548,DVD,9251,2,546690,,,544361,,3,4.5,18,6,47.0,,,1.0,
5218,5218,145254,6305310963,DVD,7632,4,173349,265038,,112519,109816,58,4.5,132,11,74.0,94.0,,75.0,38.0
5219,5219,145275,B00003ETQF,DVD,47641,2,,283674,,,543658,23,4.0,167,2,,26.0,,,124.0
5221,5221,145425,B000056BRZ,DVD,45012,3,,331827,,543258,135716,1,4.0,4,3,,17.0,,9.0,412.0
5222,5222,145458,B00007J5VN,DVD,4677,3,547177,,191674,451835,,33,4.0,196,8,335.0,,455.0,369.0,
5223,5223,145460,B00007J5VO,DVD,5957,2,,,546686,536036,,16,4.5,100,9,,,129.0,260.0,
5224,5224,145477,B00007J5VT,DVD,6159,3,,,548162,251574,185252,71,3.5,490,10,,,82.0,158.0,61.0
5225,5225,145479,B00007J5VS,DVD,9092,4,548284,52347,545791,107001,,1,3.0,14,8,206.0,26.0,241.0,8.0,
5226,5226,145566,6305428220,DVD,2156,4,216159,547413,127512,,180314,252,4.0,655,9,139.0,795.0,1017.0,,328.0
5227,5227,145575,6305018995,DVD,13606,1,58695,,,,,5,4.0,25,1,59.0,,,,
5229,5229,145648,6305774021,DVD,30411,5,545112,547022,544772,543650,151165,4,4.5,15,6,141.0,46.0,134.0,50.0,15.0
5231,5231,145679,B00005LOKX,DVD,16253,4,188973,547541,121198,,252817,19,4.5,89,6,302.0,199.0,557.0,,212.0
5232,5232,145684,B00005LOKS,DVD,3354,1,,,548336,,,87,4.5,289,3,,,202.0,,
5234,5234,145686,B00005LOKT,DVD,33377,4,145685,165768,515880,399626,,1,4.0,11,4,0.0,141.0,6.0,23.0,
5235,5235,145687,B00005LOKU,DVD,17058,5,87383,544823,544922,545450,264350,15,4.0,135,9,374.0,522.0,95.0,14.0,92.0
5236,5236,145693,B00005LOKW,DVD,22976,4,169936,,190895,33359,544508,17,4.0,41,6,347.0,,1859.0,233.0,964.0
5237,5237,145769,B00001O2H0,DVD,7011,3,545632,127175,544389,,,20,4.0,48,8,83.0,92.0,19.0,,
5238,5238,145771,B00001O2H1,DVD,28123,4,92288,546421,,121126,143300,11,4.0,29,4,279.0,1005.0,,206.0,124.0
5239,5239,145780,6305639426,DVD,40400,5,167720,349604,255989,134983,372205,66,4.5,517,5,382.0,325.0,495.0,404.0,372.0
5240,5240,145785,6305339856,DVD,37556,3,546044,,23765,,504076,21,3.0,227,3,268.0,,150.0,,192.0
5241,5241,145850,6305078947,DVD,43251,1,,,,548091,,10,4.5,99,1,,,,693.0,
5242,5242,145901,B00004YS7Y,DVD,31061,3,193478,,,546679,547236,14,2.5,37,4,19.0,,,28.0,51.0
5246,5246,146279,B00004SPYJ,DVD,36917,4,279910,,543854,544481,546680,162,4.5,1091,4,237.0,,1385.0,917.0,640.0
5247,5247,146464,0783225970,DVD,15127,3,,233615,546689,270909,,598,4.5,2955,3,,4212.0,4192.0,1958.0,
5248,5248,146475,B00005JD5M,DVD,9560,5,225889,545627,545406,11155,33187,27,3.0,187,6,71.0,1594.0,58.0,80.0,759.0
5249,5249,146477,B00005JD5K,DVD,13729,5,177432,201184,546260,46895,17396,1,5.0,5,5,260.0,244.0,127.0,32.0,80.0
5250,5250,146478,B00005JD5H,DVD,2189,3,,546496,545970,,544207,183,4.5,308,8,,135.0,71.0,,133.0
5251,5251,146479,B00005JD5J,DVD,4071,5,201184,546260,177432,547926,46895,77,3.5,332,13,244.0,127.0,260.0,138.0,32.0
5252,5252,146593,B00000F0ZA,DVD,21281,3,543666,542864,542865,,,3,5.0,27,4,16.0,0.0,3.0,,
5253,5253,146596,B00000F0ZC,DVD,35833,1,,545674,,,,6,4.0,231,1,,323.0,,,
5254,5254,146618,B00005QJHQ,DVD,31094,5,177432,201184,542314,546260,32468,132,3.5,341,5,260.0,244.0,116.0,127.0,165.0
5255,5255,146661,B00000F0Z9,DVD,14010,5,146593,543189,543666,542864,542865,3,4.5,84,6,27.0,13.0,16.0,0.0,3.0
5256,5256,146677,B00005JLRB,DVD,3473,3,545608,,,15397,203649,68,3.0,239,4,344.0,,,448.0,472.0
5257,5257,146684,1572524898,DVD,8350,3,193141,,,185252,80594,13,4.5,87,8,79.0,,,61.0,231.0
5258,5258,146739,B00005JLR5,DVD,6519,4,388011,,548127,388013,388014,72,4.0,1438,9,127.0,,481.0,37.0,30.0
5259,5259,146757,B00004Y6BJ,DVD,21164,4,21347,547133,166622,,546304,9,4.0,33,5,49.0,67.0,53.0,,692.0
5260,5260,146773,6305701482,DVD,16794,5,546255,548190,546322,547009,262393,3,3.5,19,9,21.0,24.0,7.0,40.0,13.0
5261,5261,146974,B00004U60I,DVD,36787,5,28794,44508,545051,104106,28804,168,3.5,692,5,1442.0,282.0,436.0,1007.0,593.0
5262,5262,147082,B00004UEDZ,DVD,5362,2,,,63633,,151739,68,4.5,364,2,,,985.0,,785.0
5263,5263,147086,6305463530,DVD,41753,4,544644,,548414,234781,9272,3,2.5,34,4,68.0,,79.0,864.0,17.0
5264,5264,147090,B00004UEDQ,DVD,3667,3,233054,71269,18827,,,79,4.0,276,6,94.0,242.0,325.0,,
5265,5265,147092,6305131120,DVD,3922,2,,,165173,548184,,44,4.0,142,5,,,590.0,350.0,
5266,5266,147230,1573623962,DVD,37848,3,545060,545063,,132796,,8,3.0,23,4,27.0,25.0,,46.0,
5267,5267,147265,B000068TQ7,DVD,6585,4,226103,226104,122483,,545875,5,4.5,50,8,138.0,36.0,111.0,,47.0
5269,5269,147369,B00008NGDR,DVD,20978,1,,,,171516,,17,3.5,72,1,,,,61.0,
5270,5270,147374,B0000203YR,DVD,853,3,,270892,542909,,545283,122,5.0,581,6,,59.0,1054.0,,83.0
5271,5271,147375,B0000203YN,DVD,42439,3,28010,,418154,,260986,11,3.5,38,6,54.0,,38.0,,28.0
5272,5272,147376,B0000203YO,DVD,35238,1,,429418,,,,11,4.0,53,2,,25.0,,,
5273,5273,147384,B0000203YB,DVD,43846,1,172359,,,,,10,4.5,37,2,14.0,,,,
5274,5274,147668,B00006HAYG,DVD,24922,2,154910,346542,,,,57,4.0,175,4,53.0,237.0,,,
5275,5275,147723,B00006HAYU,DVD,30666,5,291584,241226,544936,544751,547038,3,4.0,28,7,85.0,48.0,57.0,117.0,51.0
5276,5276,147763,6305035105,DVD,41031,2,548365,30810,,,,21,4.0,56,2,95.0,240.0,,,
5277,5277,147838,6305594368,DVD,15515,5,59477,269352,143244,545522,46626,238,4.0,1033,5,587.0,464.0,427.0,471.0,8.0
5278,5278,147919,6305869820,DVD,12325,5,227767,84421,482668,352908,234781,80,3.0,491,17,143.0,72.0,1249.0,92.0,864.0
5279,5279,148014,B000053UYY,DVD,9856,2,,,,286038,343633,10,4.5,32,2,,,,150.0,337.0
5280,5280,148055,B000053VB2,DVD,5045,4,228198,,26109,152583,265500,82,5.0,204,6,18.0,,121.0,240.0,417.0
5281,5281,148069,6305526354,DVD,34878,1,,,,,542908,4,5.0,22,1,,,,,36.0
5282,5282,148126,B000053VBO,DVD,13811,5,109847,545746,109844,532214,109835,10,4.5,74,9,92.0,112.0,63.0,60.0,61.0
5283,5283,148131,B000053VBI,DVD,33084,3,148135,109839,,183281,,1,1.0,10,5,46.0,140.0,,14.0,
5284,5284,148135,B000053VBJ,DVD,28846,5,109839,148131,548196,182999,135335,10,2.5,46,7,140.0,10.0,112.0,244.0,340.0
5285,5285,148160,B00004U5S2,DVD,10941,4,328425,214003,125912,473745,,60,4.0,238,10,169.0,131.0,83.0,69.0,
5288,5288,148306,0767837975,DVD,22178,4,141155,71741,,257377,542517,31,4.5,119,6,155.0,156.0,,533.0,565.0
5289,5289,148337,B00006LHB9,DVD,12790,5,545846,148345,546230,148343,545076,2,4.0,25,11,42.0,16.0,12.0,40.0,211.0
5290,5290,148343,B00006LHB6,DVD,5943,4,546609,545846,,547068,148337,1,4.0,40,11,86.0,42.0,,80.0,25.0
5291,5291,148345,B00006LHB7,DVD,14709,5,148337,545846,546230,148343,546231,1,4.0,16,9,25.0,42.0,12.0,40.0,36.0
5292,5292,148386,B000060K4P,DVD,26011,5,212154,138550,84974,542762,210754,13,4.5,66,5,2363.0,368.0,61.0,188.0,220.0
5293,5293,148670,1573626317,DVD,19043,2,,543746,,,546902,27,3.0,77,5,,23.0,,,161.0
5294,5294,148756,B00008XOF9,DVD,21935,3,97568,220816,196996,,,313,4.0,3050,3,17.0,1970.0,2977.0,,
5295,5295,148826,0783230400,DVD,2707,4,547315,69110,103429,543071,,12,4.0,30,10,57.0,22.0,53.0,58.0,
5296,5296,148848,B0000541UF,DVD,31040,1,122664,,,,,7,4.0,37,5,16.0,,,,
5297,5297,149117,B00000INBC,DVD,13623,2,545071,209431,,,,5,3.0,74,4,155.0,160.0,,,
5298,5298,149174,B00000INCO,DVD,9181,3,,44524,16649,,249822,148,4.5,741,3,,9634.0,589.0,,372.0
5301,5301,149299,6305079803,DVD,34532,2,12848,,,31519,,32,5.0,174,2,68.0,,,285.0,
5302,5302,149332,6305130930,DVD,32682,1,,,,544539,,12,3.5,152,2,,,,191.0,
5303,5303,149534,630592970X,DVD,1697,5,59448,546842,54618,547128,265676,101,4.5,235,9,205.0,618.0,386.0,216.0,635.0
5304,5304,149551,6305907110,DVD,9335,4,13828,544182,18824,66195,,104,3.5,252,12,256.0,405.0,1034.0,318.0,
